stock,taxa,variable,year,mean,sd,lower,upper,status
Phycis.spp,Phycis spp,b_div_bmsy,2018,0.573948452471545,0.146924224087771,0.45640700762061,0.723077286070541,overfished
Trisopterus.minutus,Trisopterus minutus,b_div_bmsy,2018,0.615291835811508,0.144025846410908,0.488923788509441,0.771913913278617,overfished
Micromesistius.poutassou,Micromesistius poutassou,b_div_bmsy,2018,0.556253240744205,0.141797364613485,0.443857412428425,0.700012462939507,overfished
Phycis.phycis,Phycis phycis,b_div_bmsy,2018,0.680656655920627,0.162727715025617,0.526438170460031,0.884633291683569,overfished
Trisopterus.luscus,Trisopterus luscus,b_div_bmsy,2018,0.585070832031511,0.111074979772985,0.48532638825966,0.691847343823097,overfished
